gen	min     	avg     	max     	std    
0  	-13117.6	-2114.14	-1688.73	933.188
1  	-11175.5	-2071.96	-1688.73	679.438
2  	-11110  	-2082.79	-1685.33	698.35 
3  	-9911.81	-2042.24	-1685.33	566.905
4  	-7769.11	-2031.63	-1685.33	518.707
5  	-9943.12	-2031.97	-1685.33	587.809
6  	-9943.12	-1989.03	-1684.63	408.521
7  	-10021.5	-1990.66	-1683.63	415.361
8  	-9938.47	-1986.03	-1683.63	413.893
9  	-9697.06	-1987.09	-1683.63	413.044
10 	-9903.99	-1996.05	-1678.41	549.076
11 	-9978.19	-1980.56	-1693.73	436.461
12 	-10001.7	-1978.72	-1693.73	428.151
13 	-9984.47	-1967.23	-1689.84	413.334
14 	-9991.26	-1973.33	-1691.51	419.843
15 	-9953.18	-1953.28	-1684.33	407.838
16 	-10241.2	-1943.71	-1684.1 	413.994
17 	-10314.8	-1949.45	-1678.84	423.857
18 	-10315.5	-1944.41	-1678.84	423.357
19 	-3214.82	-1929.07	-1678.84	192.061
20 	-3226.8 	-1909.57	-1677.84	199.426
21 	-3479.5 	-1911.57	-1679.68	210.631
22 	-3127.64	-1872.07	-1677.84	156.624
23 	-3129.8 	-1865.99	-1678.07	165.195
24 	-3121.12	-1877.61	-1670.33	171.024
25 	-3122.02	-1889.58	-1670.33	170.829
26 	-3120.02	-1868.13	-1670.33	160.884
27 	-3116.02	-1876.39	-1670.33	149.224
28 	-3110.67	-1872.76	-1670.33	145.336
29 	-2455.36	-1854   	-1677.44	128.306
30 	-5527.66	-1866.08	-1671.91	317.046
31 	-5524.88	-1865.44	-1673.17	284.806
32 	-3532.79	-1882.11	-1677.11	300.728
33 	-2453.96	-1825.04	-1675.68	128.386
34 	-2636.58	-1835.41	-1675.89	145.921
35 	-2484.66	-1831.49	-1673.89	136.164
36 	-2567.18	-1860.92	-1673.02	161.555
37 	-2564.26	-1842.87	-1673.02	148.339
38 	-2762.79	-1886.92	-1673.02	210.114
39 	-15822.1	-2037.95	-1674.47	1639.44
40 	-2480.96	-1849.84	-1675.69	139.296
41 	-2792.36	-1868.3 	-1672.68	141.356
42 	-15763.4	-2987.35	-1672.68	3704.37
43 	-15739  	-3185.65	-1674.38	3935.9 
44 	-15727  	-2557.53	-1675.66	3031.5 
45 	-15742.3	-1902.18	-1676.96	1106.67
46 	-5374.08	-1904   	-1673.49	340.716
47 	-5336.66	-1871.98	-1673.46	270.718
48 	-5340.5 	-1863.16	-1674.18	219.056
49 	-5334.1 	-1825.42	-1676.72	201.417
50 	-5355.66	-1844.35	-1674.36	297.133
51 	-5344.96	-1860.27	-1678.78	289.529
52 	-5337.96	-1843.18	-1673.02	291.64 
53 	-5338.96	-1840.2 	-1671.9 	289.847
54 	-17365.8	-1864.03	-1671.3 	735.07 
55 	-5329.66	-1806.36	-1672.5 	186.745
56 	-2980.18	-1879.12	-1674.38	281.688
57 	-2944.5 	-1851.79	-1674.66	262.807
58 	-2920.06	-1862.7 	-1672.96	249.636
59 	-2892.36	-1844.27	-1672.03	221.606
60 	-2292.77	-1841.41	-1674.36	108.624
61 	-9750.48	-2301.33	-1676.38	1847.32
62 	-2107.96	-1805.68	-1674.8 	101.913
63 	-6155.26	-1883.55	-1673.1 	576.962
64 	-6082.96	-1806.95	-1673.32	345.431
65 	-6092.68	-2221.2 	-1674.62	1228.27
66 	-6175.96	-2250.53	-1673.62	1238.84
67 	-6212.66	-2205.05	-1676.19	1172.59
68 	-7938.96	-2254.9 	-1675.19	1207.68
69 	-5782.94	-2039.88	-1672.69	743.132
70 	-4752.76	-1947.57	-1677.06	484.135
71 	-4752.46	-1907.1 	-1672.32	406.48 
72 	-2153.44	-1825.44	-1675.32	105.242
73 	-2115.06	-1814.33	-1672.32	105.341
74 	-2184.66	-1842.68	-1673.14	122.066
75 	-2236.36	-1835.67	-1673.14	130.892
76 	-2114.49	-1793.5 	-1674.32	110.412
77 	-2256.66	-1847.07	-1672.43	138.076
78 	-2143.1 	-1803.74	-1673.49	123.668
79 	-2012.46	-1742.99	-1676.18	83.1246
80 	-2159.18	-1807.51	-1670.96	104.976
81 	-2087.66	-1772.8 	-1670.33	98.9014
82 	-2071.19	-1779.32	-1672.66	106.957
83 	-2110.66	-1805.13	-1674.67	112.937
84 	-3036.96	-1871.03	-1671.4 	169.96 
85 	-2131.96	-1827.18	-1674.09	118.787
86 	-2133.11	-1799.32	-1671.69	110.061
87 	-2169.66	-1797.77	-1670.69	119.282
88 	-2158.1 	-1816.51	-1674.62	110.386
89 	-6115.96	-2058.55	-1679.66	953.792
90 	-2279.96	-1800.2 	-1672.2 	120.539
91 	-2146.88	-1855.29	-1672.84	105.642
92 	-2288.96	-1822.39	-1671.14	154.627
93 	-3143.96	-1789.34	-1671.84	124.712
94 	-3146.49	-1825.99	-1676.37	125.503
95 	-1996.1 	-1806.88	-1673.32	93.5006
96 	-5714.26	-1822.2 	-1678.96	213.986
97 	-3136.66	-1804.66	-1674.49	138.654
98 	-5775.18	-1767.38	-1675.93	196.773
99 	-3128.96	-1783.73	-1676.98	119.484
