gen	min         	avg     	max     	std    
0  	-2.30718e+06	-8067.48	-2372.36	102979 
1  	-2.30718e+06	-8033.97	-2369.57	102986 
2  	-2.30713e+06	-8042.66	-2328.68	102979 
3  	-2.30713e+06	-8012.74	-2362.08	102977 
4  	-2.30711e+06	-7665.09	-2361.57	102957 
5  	-2.30694e+06	-7704.02	-2360.3 	102959 
6  	-2.30694e+06	-7647.7 	-2360.22	102958 
7  	-2.30711e+06	-7603.63	-2355.46	102967 
8  	-39290.5    	-2935.84	-2294.16	1753.16
9  	-8727.97    	-2895.15	-2316.01	691.763
10 	-9845.97    	-2970   	-2316.01	779.627
11 	-8173.33    	-2992.84	-2306.19	719.388
12 	-8187.13    	-2963.03	-2328.01	693.668
13 	-8121.89    	-2928.5 	-2317.14	698.678
14 	-8114.38    	-2877.46	-2305.69	645.585
15 	-8008.62    	-2851.4 	-2312.84	572.587
16 	-6616       	-2813.49	-2306.66	500.152
17 	-7441.22    	-2873.38	-2289.69	795.863
18 	-7091.67    	-2871.41	-2293.97	766.936
19 	-7566.93    	-2811.62	-2286.35	699.163
20 	-7109.28    	-2802.88	-2309.38	674.595
21 	-6547.22    	-2827.69	-2313.31	676.954
22 	-10820.2    	-3169   	-2314.79	1697.04
23 	-10534.8    	-3043.63	-2300.87	1457.34
24 	-6600.96    	-2776.95	-2290.19	674.454
25 	-8550.75    	-2881.39	-2310.66	881.697
26 	-7082.99    	-2770.38	-2302.95	582.352
27 	-7306.08    	-2732.76	-2283.96	588.862
28 	-7320.8     	-2711.33	-2282.17	503.305
29 	-7458.81    	-2846.17	-2281.82	890.732
30 	-6780.13    	-2801.95	-2271.74	861.352
31 	-9301.57    	-2840   	-2262.26	926.361
32 	-9200.92    	-2742.53	-2264.91	861.179
33 	-9058.95    	-2796.93	-2254.72	933.095
34 	-11847.1    	-3024.36	-2269.91	1211.95
35 	-11854.6    	-3057.03	-2294.81	1204.23
36 	-8073.01    	-2807.71	-2279.03	728.405
37 	-6275.62    	-2760.46	-2255.35	582.502
38 	-381875     	-23018.1	-2260.98	84987.5
39 	-381933     	-13954.5	-2251.56	64161.7
40 	-383700     	-18074.3	-2283.85	73817.8
41 	-381823     	-18508.2	-2261.72	75457.5
42 	-384829     	-14765.3	-2259.03	66243  
43 	-7700.99    	-2819.04	-2283.13	842.994
44 	-7653.65    	-2671.95	-2270.64	528.301
45 	-8982.57    	-2665.79	-2267.5 	750.478
46 	-7855.54    	-2701.84	-2275.18	692.639
47 	-7886.08    	-2665.72	-2284.94	661.513
48 	-7791.35    	-2580.27	-2264.87	556.055
49 	-4745.28    	-2575.88	-2254.08	275.305
50 	-4560.07    	-2520.93	-2265.54	239.957
51 	-4565.36    	-2585.69	-2265.01	289.267
52 	-4538.98    	-2595.18	-2264.78	311.939
53 	-5082.08    	-2759.61	-2280.94	560.933
54 	-4233.45    	-2521.61	-2242.7 	236.858
55 	-4222.17    	-2519.18	-2258.92	248.477
56 	-11212.4    	-2608.98	-2254.48	704.128
57 	-10812.4    	-2552.72	-2257.01	578.271
58 	-21689.1    	-2620.15	-2259.25	1091.76
59 	-10741.6    	-2592.24	-2252.71	681.685
60 	-21675      	-2574.01	-2272.51	881.915
61 	-10753.6    	-2550.65	-2252.79	432.715
62 	-10662.4    	-2521.11	-2255.15	395.265
63 	-21629.4    	-2612.32	-2251.79	1030.91
64 	-10804.4    	-2644.57	-2258.97	735.87 
65 	-11796.7    	-2690.09	-2257.12	870.491
66 	-4754.62    	-2544.59	-2246.55	408.912
67 	-10343      	-3165.33	-2258.62	1389.73
68 	-7651.79    	-2615.35	-2267.36	694.083
69 	-5261.33    	-2573.01	-2237.56	374.594
70 	-5221.95    	-2517.55	-2267.73	331.154
71 	-6119.21    	-2645.57	-2260.47	674.083
72 	-7148.37    	-2650.32	-2257.08	616.799
73 	-7222.83    	-2705.55	-2256.04	586.357
74 	-6778.44    	-2675.71	-2255.24	500.155
75 	-5943.4     	-2560.32	-2273.96	347.708
76 	-5786       	-2587.21	-2266.78	355.188
77 	-10843.4    	-2502.85	-2253.05	456.764
78 	-21589.6    	-2585.15	-2245.3 	977.633
79 	-21560      	-2756.72	-2258.23	1362.87
80 	-21566.5    	-2797.69	-2251.73	1458.66
81 	-21478.5    	-2729.39	-2249.86	1285.38
82 	-14251.6    	-3476.96	-2266.74	2922.44
83 	-10927.8    	-2845.46	-2255.83	1108.31
84 	-11150.8    	-2562.9 	-2254.27	846.647
85 	-10993.2    	-2563.38	-2253.83	836.859
86 	-10892      	-2569.61	-2231.05	556.243
87 	-11045.8    	-2628.64	-2274.65	698.586
88 	-10841.4    	-2542.58	-2258.12	547.186
89 	-24951.8    	-3553.33	-2264.39	4634.83
90 	-11395.2    	-2621.31	-2232.62	1215.58
91 	-12121.3    	-2947.11	-2255.94	1376.64
92 	-10866.2    	-2636.37	-2270.99	886.032
93 	-11364.7    	-2521.07	-2244.8 	714.215
94 	-10828.9    	-2595.09	-2252.13	738.02 
95 	-21595      	-2615.07	-2266.72	1209.94
96 	-10843      	-2550.42	-2248.26	771.185
97 	-10848.5    	-2787.05	-2256.68	1174.9 
98 	-11067.1    	-2786.75	-2251.71	1209.86
99 	-9264.88    	-2660.3 	-2258.03	998.557
