gen	min     	avg     	max     	std    
0  	-71607.9	-3394.96	-2383.38	3505.1 
1  	-71743.2	-3697.66	-2375.97	4829.73
2  	-22094.9	-3509.53	-2375.97	2153.71
3  	-117804 	-4090.22	-2348.21	9011.15
4  	-117974 	-4121.56	-2338.5 	9025.94
5  	-117974 	-4022.3 	-2350.28	9058.45
6  	-117740 	-3636.71	-2350.37	5519.95
7  	-117740 	-3424.96	-2316.22	5333.07
8  	-13717.1	-3217.69	-2316.22	1454.86
9  	-13694.5	-3299.22	-2296.12	1348.96
10 	-13421.1	-3304.18	-2319.08	1435.69
11 	-13032.9	-3225.7 	-2326.34	1258.37
12 	-44326.5	-3746.5 	-2305.33	4571.84
13 	-42347.6	-3566.35	-2298.15	3069.86
14 	-42084.2	-3317.11	-2301.45	2312.36
15 	-16080.6	-3257.95	-2308.32	1795.26
16 	-16098.1	-3227.86	-2282.46	1731.04
17 	-26497.1	-3098.85	-2322.68	1583.39
18 	-15917.8	-2909.29	-2309.23	979.648
19 	-15894.5	-2810.55	-2278.77	907.802
20 	-15898.5	-2867.12	-2271.19	1207.38
21 	-15943.5	-2922.81	-2290.58	1379.5 
22 	-15904.7	-2931.69	-2292.47	1406.56
23 	-14964.5	-3109.5 	-2305.68	1732.87
24 	-17533.7	-3550.13	-2257   	2965.87
25 	-15816.1	-2940.18	-2263.5 	1866.03
26 	-28650.3	-3071.41	-2264.19	2340.3 
27 	-28632.5	-3166.1 	-2282.47	2663.98
28 	-28351.9	-3066.91	-2272.89	2371.93
29 	-28403.6	-2991.25	-2267.11	2319.42
30 	-28439.5	-2905.09	-2291.41	2067.67
31 	-16032.7	-2642.8 	-2280.78	1058.37
32 	-16325.1	-2857.37	-2282.77	1334.21
33 	-16352.1	-2940.4 	-2278.11	1494.12
34 	-17023.6	-2971.35	-2293.11	1449.51
35 	-19848.3	-2875.64	-2276.99	1358.22
36 	-8625.49	-2697.3 	-2258.44	828.542
37 	-4818.84	-2545.02	-2248.11	342.075
38 	-4785.02	-2613.03	-2250.28	371.538
39 	-9479   	-2611.1 	-2267.74	678.428
40 	-6574.53	-2597.96	-2266.05	470.754
41 	-6517.56	-2626.72	-2266.82	539.069
42 	-4881.06	-2593.02	-2270.62	378.937
43 	-5000.68	-2549.94	-2263.17	274.141
44 	-5498.37	-2575.77	-2271.77	396.387
45 	-5113.15	-2577.96	-2245.1 	428.906
46 	-5096.48	-2552.3 	-2265.74	416.479
47 	-4947.06	-2557.96	-2269.09	407.73 
48 	-6697.43	-2666.47	-2259.51	488.229
49 	-6828.36	-2674.06	-2258.09	525.426
50 	-6807.15	-2637.63	-2255.77	553.045
51 	-4423.78	-2539.2 	-2249.26	318.208
52 	-5933.93	-2593.58	-2262.63	603.56 
53 	-6241.09	-2630.94	-2252.1 	663.342
54 	-15454.6	-3605.3 	-2266.21	3273.89
55 	-6223.88	-2606.79	-2269.13	638.365
56 	-118636 	-3377.45	-2269.88	8892.76
57 	-117698 	-3370.48	-2288.69	7330.68
58 	-117561 	-3696.14	-2276.74	7414.41
59 	-116624 	-3900.52	-2275.81	8936.73
60 	-116723 	-3692.36	-2259.52	8899.23
61 	-116683 	-2953.96	-2233.75	7207.02
62 	-116910 	-2910.69	-2262.35	7215.68
63 	-117215 	-3044.49	-2271.6 	7218.02
64 	-116497 	-2826.37	-2263.1 	5100.14
65 	-9755.43	-2778.2 	-2245.95	1118.44
66 	-9793.31	-2806.01	-2289.49	1085.13
67 	-10464.2	-2701.15	-2283.37	889.851
68 	-4457.66	-2530.73	-2241.37	326.111
69 	-3905.71	-2564.91	-2248.56	340.413
70 	-7596.88	-2903.98	-2234.63	1013.36
71 	-5401.51	-2568.57	-2253.09	332.131
72 	-8576.01	-2764.89	-2265.4 	1139.14
73 	-5195.6 	-2531.02	-2276.44	301.83 
74 	-5095.81	-2552.87	-2259.86	370.561
75 	-5174.02	-2551.01	-2248.27	338.641
76 	-4239.51	-2545.39	-2232.2 	318.846
77 	-4969.58	-2704.03	-2236.8 	540.115
78 	-4852.57	-2548.7 	-2251.09	379.439
79 	-4974.26	-2575.65	-2250.11	398.03 
80 	-4907.64	-2649.2 	-2264.44	460.806
81 	-5143.33	-2597.07	-2270.27	325.376
82 	-5206.9 	-2518.44	-2260.18	236.82 
83 	-5099.97	-2755.4 	-2254.55	646.956
84 	-5124.3 	-2602.44	-2267.64	304.821
85 	-5048.72	-2468.7 	-2251.02	252.005
86 	-6179.3 	-2573.21	-2269.8 	544.188
87 	-6620.92	-2585.22	-2252.96	502.415
88 	-3420.83	-2509.44	-2265.7 	199.956
89 	-3372.68	-2495.64	-2259.86	239.529
90 	-3660.11	-2463.12	-2228.74	238.852
91 	-3637.71	-2465.13	-2265.04	229.4  
92 	-5077.67	-2586.79	-2255.09	498.537
93 	-4868.82	-2577.12	-2260.88	408.054
94 	-4600.21	-2546.19	-2275.75	406.134
95 	-3972.78	-2551.33	-2272.38	255.652
96 	-4092.45	-2674.35	-2258.07	370.737
97 	-3695.4 	-2487.01	-2242.86	279.496
98 	-4123.88	-2511.67	-2263.33	275.657
99 	-3620.18	-2480.65	-2266.59	217.092
