gen	min         	avg     	max     	std        
0  	-44529.2    	-3629.77	-1730.64	3984.68    
1  	-44539.2    	-3765.16	-1553.34	4175.56    
2  	-44868.1    	-3883.23	-1553.34	4449.59    
3  	-46170.8    	-3934.32	-1542.95	4700.55    
4  	-44823.7    	-4020.35	-1545.64	4882.59    
5  	-44833.9    	-3910.06	-1494.74	4813.06    
6  	-44860.6    	-4371.16	-1535.29	6018.82    
7  	-44743.7    	-4208.81	-1595.83	5425.31    
8  	-44955.2    	-3966.02	-1689.58	4271.8     
9  	-44359      	-3555.66	-1694.62	3085.88    
10 	-44828.1    	-3572.95	-1694.62	3374.19    
11 	-44907.3    	-3653.06	-1651.16	3472.38    
12 	-45095.4    	-3758.03	-1583.3 	4331.19    
13 	-45437.5    	-3691.88	-1579.3 	3887.78    
14 	-45432.6    	-3654.64	-1629.45	3846.18    
15 	-45422.6    	-3692.54	-1628.31	4597.95    
16 	-11075.9    	-3239.98	-1563.89	940.067    
17 	-11098.7    	-3238.51	-1539.75	1052.56    
18 	-10952.7    	-3242.23	-1574.39	1090.66    
19 	-10930.8    	-3228.75	-1559.1 	1047.28    
20 	-11054.7    	-3139.95	-1623.53	829.527    
21 	-11055.7    	-3155.15	-1779.08	889.057    
22 	-10739.2    	-3163.3 	-1647.53	873.123    
23 	-10911.1    	-3209.8 	-1847.77	845.713    
24 	-10840.5    	-3216.75	-1844.17	750.214    
25 	-10915.4    	-3238.24	-1842.62	753.885    
26 	-1.7921e+07 	-74925.8	-1828.63	1.13094e+06
27 	-1.7921e+07 	-74868.4	-1816.34	1.13094e+06
28 	-1.79209e+07	-39097.7	-1888.46	800500     
29 	-10520.3    	-3233.63	-1956.59	784.218    
30 	-1.79208e+07	-39098.8	-1883.64	800496     
31 	-1.79208e+07	-39128  	-1861.26	800493     
32 	-10423.4    	-3119.92	-1801.92	688.984    
33 	-10456.3    	-3135.49	-1868.13	681.795    
34 	-10457.6    	-3167.97	-1899.36	673.014    
35 	-10778.2    	-3171.91	-2001.79	680.923    
36 	-10885.5    	-3200.96	-1972.3 	706.834    
37 	-10637.2    	-3216.23	-2060.47	704.088    
38 	-10984.9    	-3248.57	-2001.83	763.044    
39 	-10999.9    	-3242   	-1991.68	754.562    
40 	-10965.9    	-3767.93	-1991.5 	1389.45    
41 	-10957      	-3384.29	-2053.68	769.435    
42 	-10866.1    	-3279.67	-2013.79	715.396    
43 	-10783.3    	-3236.5 	-2032.98	626.279    
44 	-10820.7    	-3273.48	-2090.2 	586.709    
45 	-12688.2    	-3406.62	-2292.19	1230.32    
46 	-12450      	-3359.92	-2067.3 	1349.59    
47 	-10538.2    	-3180.57	-2120.8 	480.485    
48 	-10868.8    	-3198.47	-2357.04	567.306    
49 	-10616.9    	-3440.48	-2262.15	1233.59    
50 	-13371.5    	-3461.2 	-2001.27	1416.45    
51 	-13469.1    	-3348.46	-1972.8 	1169.25    
52 	-10561      	-3437.79	-2002.88	1148.52    
53 	-17079      	-3528.98	-1958.81	1361.89    
54 	-9791.3     	-3765.52	-2046.09	1509.94    
55 	-9859.88    	-3290.21	-2622.32	902.725    
56 	-9965.3     	-3454.66	-2615.99	1103.97    
57 	-8114.36    	-3264.39	-2631.44	600.019    
58 	-7743.36    	-3202.96	-2571.39	473.381    
59 	-7741.75    	-3179.45	-2722.8 	409.678    
60 	-23173.1    	-3726.44	-2721.71	3152.87    
61 	-7187.11    	-3291.06	-2723.38	671.687    
62 	-7061.39    	-3196.88	-2708.15	465.824    
63 	-12766.4    	-4248.13	-2680.04	2742.71    
64 	-12254.8    	-4001.41	-2695.33	2589.04    
65 	-15850.5    	-3972.52	-2620.08	2538.9     
66 	-15769.9    	-3537.17	-2641.34	1874.48    
67 	-10065      	-3251.02	-2670.21	580.02     
68 	-5043.9     	-3286.87	-2698.03	418.306    
69 	-4910.99    	-3230.68	-2783.04	354.787    
70 	-6013.95    	-3239.91	-2739.53	394.292    
71 	-7274.55    	-3435.68	-2698.41	557.786    
72 	-6137.14    	-3111.33	-2702.37	276.522    
73 	-12712.1    	-3291.96	-2739.29	1142.29    
74 	-12913.1    	-3209.66	-2829.92	794.697    
75 	-12510.2    	-3361.01	-2831.39	608.695    
76 	-12872.7    	-3321.75	-2834.69	995.533    
77 	-5806.12    	-3201.04	-2828.35	342.062    
78 	-6719.4     	-3348.64	-2829.77	490.635    
79 	-7017.61    	-3297.37	-2816.69	559.062    
80 	-10220.4    	-3658.21	-2809   	1052.51    
81 	-6827.54    	-3608.12	-2842.41	752.827    
82 	-8483.28    	-3347.93	-2800.77	647.566    
83 	-5936.2     	-3236.11	-2826.18	344.48     
84 	-6661.39    	-3273.7 	-2851.95	419.643    
85 	-5963.59    	-3212.3 	-2840.95	305.045    
86 	-17237      	-3163.3 	-2834.49	967.794    
87 	-17190.7    	-3154.41	-2835.97	721.58     
88 	-7444.27    	-3128.97	-2830.2 	405.803    
89 	-6484.64    	-3103.01	-2827.54	219.363    
90 	-6726.79    	-3292.34	-2775.59	783.237    
91 	-9996.63    	-3574.84	-2829.75	1125.57    
92 	-6929.58    	-3345.75	-2779.42	712.591    
93 	-6762.94    	-3202.87	-2789.83	346.9      
94 	-6708.62    	-3339.74	-2795.55	388.504    
95 	-7849.76    	-3361.95	-2730.75	538.359    
96 	-8464.59    	-3393.73	-2811.93	487.678    
97 	-5386.59    	-3250.48	-2749.54	412.862    
98 	-5440.35    	-3264.48	-2746.53	509.858    
99 	-4568.97    	-3110.62	-2796.5 	203.039    
