gen	min        	avg     	max     	std        
0  	-26725.3   	-3336.58	-1876.03	2370.97    
1  	-15965.9   	-3169.26	-1838.63	1430.52    
2  	-17951.3   	-3314.64	-1706.14	1954.32    
3  	-38840.4   	-3317.86	-1706.14	2324.35    
4  	-37430.6   	-3210.94	-1734.08	1988.16    
5  	-37430.6   	-3180.18	-1668.57	1921.91    
6  	-37449.9   	-3100.03	-1651.05	1886.43    
7  	-37560.8   	-3110.44	-1675.05	1866.07    
8  	-8715.29   	-3051.06	-1776.8 	1127.45    
9  	-11109     	-2961.18	-1782.02	1035.92    
10 	-11151.8   	-2999   	-1752.11	1118.53    
11 	-8016.22   	-2939.77	-1702.02	970.581    
12 	-10358.3   	-2983.68	-1724.3 	1278.28    
13 	-10492     	-3027.47	-1662.28	1357.77    
14 	-15104.9   	-3051.8 	-1641.98	1645.3     
15 	-11024.9   	-2934.66	-1626.1 	1106.82    
16 	-15926.4   	-3238.79	-1616.85	2227.74    
17 	-14702.3   	-3278.73	-1638.77	2212.07    
18 	-37359.7   	-3139.47	-1648.43	2453.25    
19 	-37359.2   	-3027.76	-1686.65	2223.9     
20 	-47290.4   	-3017.34	-1661.66	2568.64    
21 	-13353.8   	-3031.83	-1654.66	1996.25    
22 	-12717.7   	-2981.72	-1639.07	1871.12    
23 	-12837.6   	-2887.58	-1640.42	1748.69    
24 	-12552     	-3040.36	-1675.09	1861.61    
25 	-7821.83   	-2694.89	-1652.61	895.615    
26 	-24957.4   	-3929.76	-1663.39	5267.54    
27 	-28594.9   	-4342.58	-1641.81	5586.67    
28 	-7963      	-2842.84	-1629.06	1100.69    
29 	-11962.7   	-3218.67	-1678.17	1802.41    
30 	-10272.4   	-3008.63	-1629.83	1623.84    
31 	-9626.06   	-3196.59	-1598.75	1702.19    
32 	-8237.14   	-2644.45	-1508.32	914.977    
33 	-14200.2   	-2871.17	-1488.23	1822.67    
34 	-14481.4   	-2709.25	-1494.81	1449.26    
35 	-14261.5   	-2908.64	-1515.25	1255.03    
36 	-15630.1   	-3061.3 	-1616.33	1780.55    
37 	-14176.7   	-2822.73	-1574.04	1386.89    
38 	-14876.4   	-2997.31	-1550.29	1546.29    
39 	-11611     	-2667.49	-1524.73	1067.02    
40 	-11590.1   	-2441.08	-1534.04	821.829    
41 	-12408.3   	-2591.82	-1573.55	966.402    
42 	-7237.25   	-2747.04	-1606.37	841.692    
43 	-12294.6   	-3378.91	-1549.56	2119.58    
44 	-10589     	-3301.14	-1551.35	2008.65    
45 	-5855.5    	-2752.87	-1600.44	767.349    
46 	-7152.64   	-2821.95	-1600.36	892.843    
47 	-6278.9    	-2742.58	-1537.91	756.042    
48 	-30734.9   	-3373.82	-1524.28	3796.5     
49 	-27208.9   	-3632.04	-1562.91	4030.2     
50 	-28068.9   	-3212.94	-1470.78	3783.2     
51 	-27161.8   	-3636.74	-1606.8 	3383.05    
52 	-27124.2   	-4255.17	-1693.47	3944.58    
53 	-12864.2   	-3132.96	-1625.76	1901.47    
54 	-13758.4   	-3264.01	-1640.47	2339.84    
55 	-13572.8   	-3089.54	-1590.07	2316.49    
56 	-7.0833e+07	-427566 	-1633.91	5.46999e+06
57 	-13577.5   	-2728.88	-1643.44	1115.21    
58 	-426635    	-5127.17	-1687.5 	32729.1    
59 	-426395    	-6391.52	-1638.01	37728.4    
60 	-426392    	-4211.01	-1560.29	26749.3    
61 	-426196    	-3260.02	-1565.65	18939.8    
62 	-426956    	-4043.76	-1503.5 	19964.7    
63 	-76611.8   	-3372.35	-1567.67	6868.3     
64 	-53915     	-3236.16	-1585.85	6044.01    
65 	-53174.4   	-3533.85	-1675.34	6492.63    
66 	-426913    	-4376.79	-1567.71	19671      
67 	-426592    	-4026.9 	-1623.57	19715.2    
68 	-477219    	-4200.95	-1585.57	21938.8    
69 	-426725    	-4293.58	-1496.46	19429.7    
70 	-426016    	-4588.4 	-1624.84	19734.2    
71 	-426224    	-4753.12	-1650.42	19524.3    
72 	-426147    	-4122.35	-1563.73	19507.9    
73 	-426419    	-7274.64	-1691.42	22404.5    
74 	-426016    	-5466.7 	-1661.12	22628.5    
75 	-426090    	-4575.63	-1532.6 	21499      
76 	-426396    	-6548.84	-1594.35	22373      
77 	-135654    	-4894.88	-1676.68	12275.4    
78 	-76480.8   	-3173.66	-1636.36	3698.75    
79 	-76527.4   	-2813.74	-1532.99	3549.11    
80 	-21559.6   	-3407.3 	-1602.96	2081.9     
81 	-77057.6   	-2738.01	-1501.74	3561.12    
82 	-76410.2   	-3030.05	-1673.85	3380.67    
83 	-76535.7   	-3239.8 	-1625.93	3497.35    
84 	-21992.3   	-2787.52	-1630.5 	1090.38    
85 	-22350.5   	-3400.33	-1592.3 	2816.52    
86 	-22254.9   	-2459.53	-1501.42	988.569    
87 	-21023.7   	-3014.59	-1587.37	2675.02    
88 	-21162.7   	-2930.98	-1576.76	2886.08    
89 	-20695.1   	-2794.33	-1498.24	2420.19    
90 	-20694.4   	-3110.47	-1520.69	2874.4     
91 	-20675.9   	-3192.62	-1566.48	2922.55    
92 	-21091.4   	-3167.9 	-1628.78	2762.24    
93 	-24263.3   	-3573.22	-1534.11	3028.27    
94 	-22302.4   	-2933.45	-1640.1 	2785.91    
95 	-20657.1   	-2984.47	-1604.28	2681.37    
96 	-27358.1   	-3350.09	-1615.01	3375.12    
97 	-28070.1   	-3047.87	-1546.68	3412.15    
98 	-28369.8   	-3630.03	-1610.17	3595.47    
99 	-20728.8   	-2812.27	-1552.56	1668.66    
