gen	min         	avg     	max     	std    
0  	-23695.2    	-3338.3 	-1707.66	2392.17
1  	-23689.3    	-3256.63	-1801.69	2211.86
2  	-23969.3    	-3344.07	-1801.69	2378.73
3  	-21267.7    	-3342.08	-1743.25	2183.19
4  	-25485      	-3293.68	-1798.39	2347.3 
5  	-15839      	-3279.64	-1798.39	2129.61
6  	-15131      	-3241.07	-1769.86	2115.4 
7  	-15365.5    	-3200.82	-1765.16	2149.27
8  	-13393.9    	-3073.11	-1679.47	1517.36
9  	-12908.1    	-2990   	-1712.13	1453.05
10 	-12911.9    	-2940.64	-1707.2 	1322.24
11 	-13369.5    	-2858.01	-1772.53	1208.9 
12 	-13380.7    	-2903.79	-1663.12	1152.8 
13 	-9906.23    	-2822.25	-1606.22	930.565
14 	-13698.9    	-2945.26	-1741.95	1177.8 
15 	-11638.5    	-2833.15	-1677.09	1142.15
16 	-11628.7    	-2766.27	-1644.81	1075.09
17 	-11638.9    	-2735.89	-1646.36	1047.13
18 	-13842.7    	-2909.05	-1655.43	1497.56
19 	-14499.1    	-2816.14	-1671.4 	1479.46
20 	-14224.3    	-2786.92	-1640.54	1284.03
21 	-9198.34    	-2754.68	-1640.54	1008.82
22 	-11324.1    	-2873.02	-1650.83	1061.57
23 	-39610.3    	-2890.12	-1689.09	1928.66
24 	-39786.9    	-3000.25	-1625.69	3010.6 
25 	-39724.4    	-2834.18	-1488.16	2482.13
26 	-8360.25    	-2793.98	-1483.45	1170.81
27 	-8345.68    	-2843.37	-1561.4 	1159.94
28 	-27549.4    	-2868.68	-1566.23	2262.48
29 	-28873.6    	-3515.19	-1619.71	3546.27
30 	-28994.9    	-3374.02	-1574.4 	3676.8 
31 	-29807.1    	-3066.7 	-1621.45	2408.57
32 	-29989.3    	-3187.6 	-1571.47	2592.76
33 	-27743.5    	-3274.79	-1649.83	2101.55
34 	-27872.2    	-3031.62	-1496.6 	1676.37
35 	-28599.1    	-2904.02	-1591.25	1858.02
36 	-16047      	-2978.9 	-1666.25	1730.99
37 	-10940.5    	-2715.41	-1620.11	1024.25
38 	-7348.29    	-2741.04	-1643.18	923.59 
39 	-6978.77    	-2665.56	-1473.17	864.093
40 	-2.42918e+06	-7629.3 	-1504.99	108421 
41 	-2.42919e+06	-12561.1	-1583.48	153157 
42 	-42361.2    	-3073.29	-1650.72	3094.72
43 	-39118.9    	-2692.93	-1541.64	1862.41
44 	-39519.1    	-2749.4 	-1497.34	2434.08
45 	-40646      	-2845.31	-1550.14	1898.13
46 	-13575.6    	-2642.61	-1555.43	942.236
47 	-14194.1    	-2957.57	-1566.42	1551.74
48 	-39736.8    	-2847.12	-1619.64	1904.64
49 	-14554.5    	-2789.68	-1544.33	1047.65
50 	-39306.9    	-2940.11	-1524.27	2498.79
51 	-39773.3    	-3352.8 	-1565.6 	3549.59
52 	-39431.1    	-3376.92	-1590.1 	4060.13
53 	-39838      	-3513.85	-1569.63	4015.66
54 	-39408.9    	-3836.91	-1636.83	5008.02
55 	-39526      	-3677.19	-1560.55	5089.91
56 	-39555.8    	-4413.94	-1545.19	6770.14
57 	-40119      	-3882.95	-1585.97	5848.23
58 	-16806.8    	-3446.44	-1630.46	2075.03
59 	-15718      	-3398.35	-1633.77	2056.79
60 	-22649.7    	-4016.31	-1602.44	2920.73
61 	-17084.4    	-2892.57	-1658.69	2082.2 
62 	-14245.2    	-3256.84	-1485.29	2280.46
63 	-13296.2    	-3725.66	-1592.33	2898.17
64 	-13569.3    	-3634.24	-1601.01	2726.36
65 	-28740.1    	-5173.49	-1570.96	5713.09
66 	-14867      	-3523.53	-1572.27	2924.26
67 	-13571.2    	-2902.01	-1598.96	1591.85
68 	-13486      	-2732.61	-1553.71	1014.46
69 	-12913.3    	-2517.78	-1626.01	741.54 
70 	-13330      	-2531.93	-1595.68	845.34 
71 	-15542.6    	-3271.1 	-1579.19	1525.04
72 	-17819.6    	-3673.87	-1712.09	2070.31
73 	-17974.4    	-3584.19	-1637.25	2005.41
74 	-8459.35    	-2692.8 	-1564.77	1065.94
75 	-15374.3    	-4140.42	-1613.98	3773.87
76 	-14639.6    	-4413.6 	-1595.28	3921.06
77 	-197475     	-11119.1	-1608.3 	37200  
78 	-187094     	-5773.45	-1584.73	24504.7
79 	-189159     	-12212.9	-1587.62	40261  
80 	-187450     	-9312.44	-1616.22	34438.9
81 	-38797      	-2730.44	-1514.48	1960.87
82 	-39216.8    	-2912.74	-1548.57	2469.26
83 	-38779.6    	-2721.18	-1582.24	1774.85
84 	-9411.37    	-2754.02	-1555.59	1016.35
85 	-8844.88    	-2657.54	-1527.51	1026.65
86 	-10762.7    	-2695.48	-1594.03	1011.24
87 	-7345.74    	-3261.3 	-1709.45	1219.37
88 	-7965.16    	-2624.74	-1610.76	865.817
89 	-6300.78    	-2474.52	-1489.06	695.384
90 	-6529.59    	-2660.03	-1490.2 	821.398
91 	-9405.43    	-2874.17	-1548.01	1540.47
92 	-20944.3    	-3709.6 	-1590.98	2732.33
93 	-16887      	-3495.66	-1673.63	2616.07
94 	-10088.3    	-3003.38	-1635.28	1353.75
95 	-15640.7    	-3293.68	-1721.8 	1692.88
96 	-14242.4    	-2718.98	-1479.25	1329.45
97 	-10148      	-2721.2 	-1485.14	1402.19
98 	-21424.1    	-2674.07	-1644.28	1614.99
99 	-29354.9    	-3288.66	-1631.37	2662.76
