gen	min     	avg     	max     	std    
0  	-117133 	-3663.3 	-1758.6 	6080.48
1  	-34734.8	-3324.79	-1650.12	2918.44
2  	-24140.2	-3331.71	-1646.21	2816.7 
3  	-35280.5	-3344.16	-1650.12	2908   
4  	-23832  	-3321.47	-1650.08	2661.88
5  	-23920.2	-3360.41	-1650.08	2814.32
6  	-46579.9	-3224.05	-1649.08	3379.13
7  	-46576  	-3281.15	-1649.33	3455.2 
8  	-46765.8	-3335.97	-1649.33	4117.31
9  	-45736.5	-3357.8 	-1745.67	3559   
10 	-45944.2	-3508.99	-1782.81	3954.4 
11 	-46142.7	-3267.32	-1700.15	3178.46
12 	-45670.8	-3274.93	-1706.75	3500.19
13 	-31303.1	-3142.87	-1560.11	2290.93
14 	-46308.7	-3150.63	-1576.94	2756.71
15 	-46644.8	-3404.51	-1488.01	3734.43
16 	-46646.4	-3312.77	-1503.65	3236.5 
17 	-46654.6	-3254.59	-1649.08	2766.7 
18 	-14449.6	-3157.22	-1634.2 	1872.71
19 	-136459 	-4159.32	-1560.57	11944.7
20 	-11169.8	-2899.02	-1630.21	1273.46
21 	-11099.6	-2847.57	-1578.88	1249.19
22 	-11099.6	-2820.2 	-1566.25	1328.89
23 	-51535.4	-2989.58	-1639.59	3320.25
24 	-51522.2	-3030.99	-1610.28	3303.33
25 	-10387.6	-2761.38	-1478.42	1133.12
26 	-19023.6	-3014.28	-1486.97	1705.38
27 	-19771  	-3033.6 	-1600.26	1573.33
28 	-11608.2	-2825.86	-1618.73	1154.01
29 	-11549.5	-2804.47	-1495.6 	1136.89
30 	-64712.3	-5513.83	-1676.29	11894.4
31 	-63508.4	-4586.73	-1622.51	9518.13
32 	-63543.5	-5665.98	-1579.69	12262.7
33 	-66604.1	-5923.38	-1570.79	12565.5
34 	-64636.1	-5023.54	-1695.82	10388  
35 	-14313  	-3189.24	-1562.58	1609.27
36 	-47210.8	-4355.85	-1520.57	6256.6 
37 	-40967.1	-3735.46	-1537.47	4970.79
38 	-36160.8	-4007.85	-1594.58	5064.59
39 	-17882.6	-3251.32	-1549.39	2596.32
40 	-36665.9	-3720.67	-1572.3 	3900.97
41 	-24396.4	-3481.64	-1449.23	3419.9 
42 	-172459 	-5671.51	-1603.67	18644.8
43 	-172177 	-5759.83	-1567.54	19994.3
44 	-24798.1	-3501.2 	-1523.01	3228.68
45 	-24895.8	-3147.57	-1511.04	2446.82
46 	-25321.4	-3026.7 	-1565.05	2336.54
47 	-24617.6	-2953.16	-1680.2 	1686.05
48 	-24756.5	-3072.66	-1565.16	1560.64
49 	-19608.2	-3092.83	-1619.27	2048.93
50 	-23126.2	-2922.19	-1630.05	1986.87
51 	-17421.9	-2599.7 	-1514   	1422.22
52 	-17249.1	-2515.05	-1452.77	1179.21
53 	-22742.3	-2594.46	-1581.56	1362.96
54 	-22801.4	-2765.67	-1552.73	1474.83
55 	-30647.6	-3054.32	-1548.5 	2175.56
56 	-57707.5	-6426.43	-1554.03	12625.6
57 	-27797  	-3034.47	-1501.59	1994.4 
58 	-66282.4	-7886.72	-1587.57	16135.1
59 	-93788.3	-7378.22	-1640.64	18999.7
60 	-7585.88	-2930.85	-1566.48	1343.52
61 	-547556 	-3863.22	-1485.76	24366.5
62 	-545572 	-5826.31	-1659.21	34237.3
63 	-544981 	-5839.79	-1563.81	34240.1
64 	-545363 	-6067.02	-1606.87	24473.2
65 	-545218 	-4187.25	-1579.42	24271.5
66 	-545262 	-4115.13	-1550.51	24278.2
67 	-545352 	-6265.46	-1550.74	34506.6
68 	-544901 	-5688.25	-1577.45	34457.1
69 	-545020 	-4715.7 	-1637.9 	24439.4
70 	-545100 	-4610.13	-1662.38	24346.8
71 	-12386.7	-2983.09	-1655.05	1613   
72 	-12602  	-2991.11	-1797.58	1073.04
73 	-12055.8	-2877.35	-1635.28	1009.73
74 	-12035.1	-2901.22	-1722.92	1086.07
75 	-11745.6	-2886.41	-1425.49	1406.02
76 	-9736.1 	-2589.71	-1607.2 	733.938
77 	-10863.7	-2831.34	-1638.08	885.71 
78 	-10691.6	-2714.04	-1579.74	771.12 
79 	-10295  	-2882.17	-1542.72	1019.86
80 	-10589.4	-2524.48	-1605.26	636.494
81 	-43128  	-2683.77	-1675.04	2637.8 
82 	-53204.2	-4019.87	-1579.73	8768.63
83 	-52806.1	-4234.97	-1584.51	8138.33
84 	-62439.8	-8692.31	-1652.89	15173.4
85 	-480162 	-18066.6	-1675.05	70204.6
86 	-14431.7	-3235.49	-1621.86	2065.86
87 	-14763.3	-3007   	-1504.32	2292.61
88 	-10022.7	-3319.81	-1668.88	1286.73
89 	-10966.8	-2962.16	-1518.96	1029.42
90 	-16007.7	-2918.56	-1625.59	1624.67
91 	-27374.7	-5010.06	-1630.09	4727.52
92 	-32350  	-4120.94	-1602.3 	4979.56
93 	-21796.9	-2761.12	-1588.24	1985.01
94 	-21918  	-2636.4 	-1586.67	1227.47
95 	-25593.9	-3640.41	-1753.89	4349.18
96 	-25424.1	-3512.61	-1469.75	4388.74
97 	-25249  	-2990.55	-1589.25	3524.72
98 	-28822.2	-3700.07	-1599.36	4817.76
99 	-15356.1	-2779.19	-1580.98	1383.25
