gen	min        	avg     	max     	std       
0  	-12709.3   	-3018.41	-1726.67	1187.92   
1  	-13366.2   	-3009.33	-1718.26	1170.52   
2  	-13366.2   	-3019.45	-1583.92	1205.15   
3  	-11349.3   	-2993.07	-1800.65	1154.7    
4  	-14494.2   	-3046.6 	-1618.89	1375.69   
5  	-14494.2   	-3037.45	-1694.53	1385.94   
6  	-13382.2   	-3045.38	-1663.7 	1329.18   
7  	-13157.1   	-3023.18	-1654.07	1289.28   
8  	-13034.1   	-2955.77	-1512.61	1226.71   
9  	-12448.5   	-3013.33	-1492.7 	1339.63   
10 	-12448.5   	-2919.98	-1493.7 	1229.74   
11 	-12422.5   	-2885.68	-1667.96	1145.73   
12 	-12696.4   	-2953.25	-1534.53	1123.51   
13 	-12839.9   	-3120.7 	-1586.23	1511.83   
14 	-12729.7   	-3433.52	-1596.14	2048.43   
15 	-12689.8   	-3319.93	-1723.47	1892.56   
16 	-16629.8   	-3192.14	-1577.73	2172.66   
17 	-38445.8   	-2987.59	-1553.43	2524.41   
18 	-38415.6   	-3092.86	-1567.66	2688.45   
19 	-38353.4   	-3306.68	-1582.64	3560.97   
20 	-39790.3   	-3327.65	-1637.52	3881.48   
21 	-39851.9   	-3178.84	-1574.83	2716.11   
22 	-11043.2   	-2910.98	-1629.73	1320.18   
23 	-34949.1   	-3614.06	-1593.72	4293.71   
24 	-14120.6   	-3286.86	-1609.61	1651.71   
25 	-11671.3   	-3031.91	-1625.33	1154.76   
26 	-176023    	-9648.6 	-1528.58	31868.2   
27 	-175907    	-10151.7	-1617.96	32812.3   
28 	-33936.9   	-2748.08	-1659.4 	1619.62   
29 	-33909.1   	-3163.17	-1579.34	2816.49   
30 	-34228.3   	-3940.26	-1612.69	3839.74   
31 	-34603.1   	-3916.92	-1660.56	3673.22   
32 	-34860     	-3970.48	-1766.47	4052.23   
33 	-34448     	-3452.97	-1697.01	2884.32   
34 	-34888.8   	-3169.95	-1688.32	2926.24   
