1: tournsize='3'
2: tournsize='34'
3: tournsize='4'
4: tournsize='16'
5: tournsize='47'
6: tournsize='49'
7: tournsize='7'
8: tournsize='6'
9: tournsize='24'
10: tournsize='8'
11: tournsize='17'
12: tournsize='37'
13: tournsize='11'
14: tournsize='45'
15: tournsize='12'
16: tournsize='41'
17: tournsize='40'
18: tournsize='20'
19: tournsize='13'
20: tournsize='42'
21: tournsize='5'
22: tournsize='25'
23: tournsize='46'
24: tournsize='21'
25: tournsize='2'
26: tournsize='44'
27: tournsize='43'
28: tournsize='38'
29: tournsize='29'
30: tournsize='31'
31: tournsize='32'
32: tournsize='35'
33: tournsize='22'
34: tournsize='33'
35: tournsize='50'
36: tournsize='30'
37: tournsize='28'
38: tournsize='9'
39: tournsize='26'
40: tournsize='23'
41: tournsize='14'
42: tournsize='27'
43: tournsize='18'
44: tournsize='15'
45: tournsize='48'
46: tournsize='19'
47: tournsize='36'
48: tournsize='39'
49: tournsize='10'
