1: tournsize='3'
2: tournsize='30'
3: tournsize='32'
4: tournsize='18'
5: tournsize='10'
6: tournsize='25'
7: tournsize='4'
8: tournsize='7'
9: tournsize='5'
10: tournsize='19'
11: tournsize='8'
12: tournsize='6'
13: tournsize='50'
14: tournsize='13'
15: tournsize='9'
16: tournsize='27'
17: tournsize='31'
18: tournsize='16'
19: tournsize='22'
20: tournsize='40'
21: tournsize='36'
22: tournsize='38'
23: tournsize='45'
24: tournsize='46'
25: tournsize='34'
26: tournsize='42'
27: tournsize='48'
28: tournsize='2'
29: tournsize='41'
30: tournsize='15'
31: tournsize='24'
32: tournsize='20'
33: tournsize='17'
34: tournsize='23'
35: tournsize='33'
36: tournsize='35'
37: tournsize='26'
38: tournsize='11'
39: tournsize='12'
40: tournsize='47'
41: tournsize='37'
42: tournsize='14'
43: tournsize='28'
44: tournsize='43'
45: tournsize='29'
46: tournsize='44'
47: tournsize='39'
48: tournsize='49'
49: tournsize='21'
