1: x1='2.5', x2='7.5'
2: x1='5.727594052898111', x2='6.548599057843391'
3: x1='-3.5057453079666296', x2='4.205290813807097'
4: x1='1.7137099459225533', x2='2.709137245436955'
5: x1='2.9456580540978026', x2='7.500828395922234'
6: x1='-4.8261424487755615', x2='1.0649812517964778'
7: x1='9.406528192949155', x2='8.733769341562294'
8: x1='0.621088472268605', x2='3.670846067481342'
9: x1='1.4679976827510712', x2='5.896867705703116'
10: x1='9.191112781337887', x2='14.897244170766083'
11: x1='3.320356379753912', x2='6.493474255924849'
12: x1='8.271450533864288', x2='10.98864944951305'
13: x1='-3.598675500312429', x2='6.733061835972074'
14: x1='-1.9963788324174652', x2='12.1167259039458'
15: x1='-3.690444193639823', x2='3.7171188910194846'
16: x1='2.3273336648681857', x2='13.384866003994269'
17: x1='-3.620272005480688', x2='5.998083519040352'
18: x1='-3.718448139653569', x2='12.56732588937622'
19: x1='-3.589756224239626', x2='7.705803242346894'
20: x1='8.819077476612573', x2='14.872239197330044'
21: x1='-3.630476177947695', x2='3.461666684273674'
22: x1='-4.212856972895648', x2='10.940154216527624'
23: x1='-4.9984486339401295', x2='12.401359650833891'
24: x1='-2.727168872680783', x2='10.799608731897097'
25: x1='-4.7732961653709225', x2='12.21436110005832'
26: x1='2.835660470883992', x2='4.261873960615563'
27: x1='-4.875045181167649', x2='12.066329285138208'
28: x1='7.396446813095212', x2='0.18653420473043247'
29: x1='-4.816897473376976', x2='12.61761789738523'
30: x1='5.576226537814122', x2='2.0178840194160443'
31: x1='-4.817905341748855', x2='11.93548500513373'
32: x1='6.093058173602156', x2='9.963866862530391'
33: x1='-2.635079018275815', x2='12.732662759496224'
34: x1='6.774054620769974', x2='12.96140229829931'
35: x1='-2.6327913692847322', x2='12.804085515729572'
36: x1='-1.0512008806847102', x2='6.43190560095441'
37: x1='-2.306039478777074', x2='12.702280464265085'
38: x1='-2.4801904984210905', x2='0.9116628966188617'
39: x1='-2.261529782245242', x2='12.769518099115654'
40: x1='8.268961183926246', x2='6.187090295489041'
41: x1='-2.345543380395072', x2='12.828999236052043'
42: x1='-3.6688667817407645', x2='4.522239949963788'
43: x1='-2.3223835420123984', x2='12.817616066216765'
44: x1='1.067534931055146', x2='12.866228592841297'
45: x1='-3.5922874583648303', x2='10.894366446356885'
46: x1='2.0092974368873993', x2='12.845120950258405'
47: x1='0.9644314317020779', x2='12.090240008072936'
48: x1='4.9785463473956355', x2='12.843026080519286'
49: x1='5.85547409375685', x2='11.319077939830187'
50: x1='3.648233336821823', x2='12.853821045154616'
51: x1='3.46226338851298', x2='7.692522068659605'
52: x1='5.7475142857362655', x2='12.838975223987962'
53: x1='5.625340543429266', x2='13.47510588607744'
54: x1='3.792097277680652', x2='12.8526236856026'
55: x1='-2.2132165402556887', x2='12.83251208519213'
56: x1='-4.551263748953182', x2='9.230469931924851'
57: x1='-0.8745785457166626', x2='1.7962946668347763'
58: x1='3.875484870305831', x2='9.529742762219835'
59: x1='-1.4733726434231875', x2='1.791880619100115'
60: x1='2.03594659373966', x2='8.172845025080514'
61: x1='-1.4071611668821378', x2='1.7878786344402975'
62: x1='1.0263531964948234', x2='2.6957470723699246'
63: x1='-0.6428697094964706', x2='1.8119654593195145'
64: x1='5.911046868580483', x2='0.6722754470180836'
65: x1='-0.681091876765195', x2='1.7792709252888972'
66: x1='7.704123806015074', x2='12.795095658431478'
67: x1='-1.8247291198453013', x2='4.259281759065318'
68: x1='7.287746637906551', x2='12.762356263235425'
69: x1='1.4980616245723741', x2='2.8379360488908922'
70: x1='5.984100152004389', x2='12.725886682985992'
71: x1='2.603511679149581', x2='3.5357380956125213'
72: x1='7.672276911332528', x2='12.81328777447577'
73: x1='7.171187000908704', x2='8.2405366593054'
74: x1='3.801854995047547', x2='12.796373793842426'
75: x1='-1.4611523470499819', x2='6.395952764260832'
76: x1='6.9689436518579235', x2='12.779535120681844'
77: x1='-2.433460694321478', x2='12.527357318476357'
78: x1='-2.2028235770004074', x2='2.4673865231577468'
79: x1='-2.566379796837483', x2='10.776065125001633'
80: x1='-1.1932948432066341', x2='8.365610654556056'
81: x1='-2.4458903750543888', x2='11.59309871682498'
82: x1='-3.8201561272175995', x2='5.861484801829723'
83: x1='-2.5069221468784852', x2='11.423732816676763'
84: x1='7.338772221923591', x2='0.33559402941309213'
85: x1='-2.5298964138407136', x2='10.799036983823047'
86: x1='-4.1399154556483015', x2='9.6403232721118'
87: x1='-2.5236187457610604', x2='11.393127463107193'
88: x1='1.517532240798448', x2='1.6344199756028777'
89: x1='-2.0960603725280684', x2='12.50026701544677'
90: x1='2.87057776901677', x2='1.6328952465396323'
91: x1='7.332353665335244', x2='0.653952441168435'
92: x1='3.320356379753912', x2='1.6365269401728015'
93: x1='5.429604231229128', x2='4.344207043654247'
94: x1='2.548674830680662', x2='1.5649955979397028'
95: x1='8.20995533569621', x2='10.709774918796253'
96: x1='1.3187847456943205', x2='1.5650154933991212'
97: x1='9.78547106113056', x2='10.455965492714338'
98: x1='3.2664647375203675', x2='1.6096409225951174'
99: x1='3.32416268265891', x2='1.4227693348740615'
100: x1='1.2673906020620525', x2='13.066168944138672'
