1: tournsize='10'
2: tournsize='13'
3: tournsize='170'
4: tournsize='192'
5: tournsize='51'
6: tournsize='206'
7: tournsize='16'
8: tournsize='137'
9: tournsize='14'
10: tournsize='133'
11: tournsize='15'
12: tournsize='234'
13: tournsize='117'
14: tournsize='119'
15: tournsize='28'
16: tournsize='12'
17: tournsize='103'
18: tournsize='33'
19: tournsize='108'
20: tournsize='182'
21: tournsize='240'
22: tournsize='39'
23: tournsize='96'
24: tournsize='40'
25: tournsize='86'
26: tournsize='11'
27: tournsize='194'
28: tournsize='198'
29: tournsize='196'
30: tournsize='102'
31: tournsize='197'
32: tournsize='190'
33: tournsize='178'
34: tournsize='189'
35: tournsize='217'
36: tournsize='195'
37: tournsize='213'
38: tournsize='175'
39: tournsize='179'
40: tournsize='250'
41: tournsize='233'
42: tournsize='100'
43: tournsize='162'
44: tournsize='29'
45: tournsize='72'
46: tournsize='45'
47: tournsize='130'
48: tournsize='131'
49: tournsize='71'
50: tournsize='220'
51: tournsize='132'
52: tournsize='81'
53: tournsize='111'
54: tournsize='43'
55: tournsize='215'
56: tournsize='41'
57: tournsize='167'
58: tournsize='210'
59: tournsize='63'
60: tournsize='98'
61: tournsize='237'
62: tournsize='23'
63: tournsize='180'
64: tournsize='112'
65: tournsize='204'
66: tournsize='165'
67: tournsize='56'
68: tournsize='166'
69: tournsize='53'
70: tournsize='164'
71: tournsize='155'
72: tournsize='52'
73: tournsize='38'
74: tournsize='62'
75: tournsize='75'
76: tournsize='73'
77: tournsize='60'
78: tournsize='235'
79: tournsize='79'
80: tournsize='247'
81: tournsize='168'
82: tournsize='191'
83: tournsize='77'
84: tournsize='249'
