1: tournsize='10'
2: tournsize='79'
3: tournsize='175'
4: tournsize='148'
5: tournsize='116'
6: tournsize='94'
7: tournsize='121'
8: tournsize='142'
9: tournsize='183'
10: tournsize='90'
11: tournsize='54'
12: tournsize='77'
13: tournsize='176'
14: tournsize='2'
15: tournsize='206'
16: tournsize='118'
17: tournsize='159'
18: tournsize='180'
19: tournsize='187'
20: tournsize='53'
21: tournsize='227'
22: tournsize='239'
23: tournsize='225'
24: tournsize='177'
25: tournsize='222'
26: tournsize='70'
27: tournsize='131'
28: tournsize='246'
29: tournsize='185'
30: tournsize='101'
31: tournsize='109'
32: tournsize='52'
33: tournsize='186'
34: tournsize='250'
35: tournsize='15'
36: tournsize='198'
37: tournsize='154'
38: tournsize='80'
39: tournsize='28'
40: tournsize='105'
41: tournsize='179'
42: tournsize='18'
43: tournsize='100'
44: tournsize='119'
45: tournsize='172'
46: tournsize='20'
47: tournsize='145'
48: tournsize='189'
49: tournsize='234'
50: tournsize='120'
51: tournsize='44'
52: tournsize='27'
53: tournsize='226'
54: tournsize='201'
55: tournsize='115'
56: tournsize='215'
57: tournsize='224'
58: tournsize='78'
59: tournsize='75'
60: tournsize='92'
61: tournsize='192'
62: tournsize='87'
63: tournsize='69'
64: tournsize='72'
65: tournsize='140'
66: tournsize='199'
67: tournsize='106'
68: tournsize='111'
