1: tournsize='10'
2: tournsize='13'
3: tournsize='170'
4: tournsize='192'
5: tournsize='51'
6: tournsize='206'
7: tournsize='80'
8: tournsize='102'
9: tournsize='137'
10: tournsize='7'
11: tournsize='31'
12: tournsize='8'
13: tournsize='241'
14: tournsize='81'
15: tournsize='34'
16: tournsize='50'
17: tournsize='33'
18: tournsize='145'
19: tournsize='96'
20: tournsize='40'
21: tournsize='158'
22: tournsize='147'
23: tournsize='177'
24: tournsize='182'
25: tournsize='234'
26: tournsize='178'
27: tournsize='82'
28: tournsize='85'
29: tournsize='230'
30: tournsize='9'
31: tournsize='86'
32: tournsize='205'
33: tournsize='157'
34: tournsize='97'
35: tournsize='88'
36: tournsize='42'
37: tournsize='149'
38: tournsize='90'
39: tournsize='94'
40: tournsize='156'
41: tournsize='224'
42: tournsize='92'
43: tournsize='49'
44: tournsize='193'
45: tournsize='103'
46: tournsize='179'
47: tournsize='39'
48: tournsize='180'
49: tournsize='210'
50: tournsize='93'
51: tournsize='233'
52: tournsize='22'
53: tournsize='20'
54: tournsize='126'
55: tournsize='32'
56: tournsize='66'
57: tournsize='75'
58: tournsize='74'
59: tournsize='73'
60: tournsize='72'
61: tournsize='221'
62: tournsize='57'
63: tournsize='21'
64: tournsize='56'
65: tournsize='61'
66: tournsize='144'
67: tournsize='60'
68: tournsize='216'
69: tournsize='62'
70: tournsize='212'
71: tournsize='110'
72: tournsize='161'
73: tournsize='148'
74: tournsize='169'
75: tournsize='138'
76: tournsize='173'
77: tournsize='108'
78: tournsize='77'
79: tournsize='150'
80: tournsize='106'
81: tournsize='175'
82: tournsize='116'
83: tournsize='118'
84: tournsize='125'
85: tournsize='211'
86: tournsize='37'
87: tournsize='117'
88: tournsize='70'
89: tournsize='68'
90: tournsize='194'
91: tournsize='71'
92: tournsize='208'
93: tournsize='172'
94: tournsize='69'
95: tournsize='218'
96: tournsize='58'
97: tournsize='146'
98: tournsize='165'
99: tournsize='59'
100: tournsize='228'
101: tournsize='249'
102: tournsize='67'
103: tournsize='91'
104: tournsize='52'
105: tournsize='174'
106: tournsize='244'
107: tournsize='53'
108: tournsize='217'
109: tournsize='188'
110: tournsize='54'
111: tournsize='183'
112: tournsize='65'
113: tournsize='64'
114: tournsize='55'
115: tournsize='128'
116: tournsize='231'
117: tournsize='232'
118: tournsize='63'
119: tournsize='38'
120: tournsize='105'
121: tournsize='166'
122: tournsize='167'
123: tournsize='203'
124: tournsize='133'
125: tournsize='207'
126: tournsize='139'
127: tournsize='43'
128: tournsize='11'
129: tournsize='6'
130: tournsize='176'
131: tournsize='4'
132: tournsize='187'
133: tournsize='46'
134: tournsize='248'
135: tournsize='47'
136: tournsize='160'
137: tournsize='159'
138: tournsize='44'
139: tournsize='114'
140: tournsize='45'
141: tournsize='196'
142: tournsize='115'
143: tournsize='113'
144: tournsize='107'
145: tournsize='163'
146: tournsize='200'
147: tournsize='199'
148: tournsize='202'
149: tournsize='78'
150: tournsize='198'
151: tournsize='197'
152: tournsize='201'
153: tournsize='195'
154: tournsize='122'
155: tournsize='121'
156: tournsize='30'
157: tournsize='79'
158: tournsize='76'
159: tournsize='3'
