1: tournsize='10'
2: tournsize='63'
3: tournsize='142'
4: tournsize='81'
5: tournsize='202'
6: tournsize='66'
7: tournsize='242'
8: tournsize='7'
9: tournsize='131'
10: tournsize='2'
11: tournsize='3'
12: tournsize='183'
13: tournsize='156'
14: tournsize='4'
15: tournsize='29'
16: tournsize='42'
17: tournsize='96'
18: tournsize='97'
19: tournsize='59'
20: tournsize='99'
21: tournsize='22'
22: tournsize='71'
23: tournsize='5'
24: tournsize='33'
25: tournsize='6'
26: tournsize='175'
27: tournsize='104'
28: tournsize='124'
