Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,5725.750759,0,1.7976931348623157E308,2408809,0.0,0.0,1,5725.750759,0,0.0,SAT,,1.788,
2,1,1,5991.871427,0,1.7976931348623157E308,9953956,0.0,0.0,1,5991.871427,1,0.0,SAT,,1.682,
3,2,1,6213.144672,0,1.7976931348623157E308,2408809,0.0,0.0,1,6213.144672,1,0.0,SAT,,1.932,
4,1,1,6506.815587,0,1.7976931348623157E308,16378625,0.0,0.0,1,6506.815587,1,0.0,SAT,,1.631,
5,3,1,6170.705125,0,1.7976931348623157E308,9953956,0.0,0.0,1,6170.705125,1,0.0,SAT,,1.807,
6,1,1,5632.429321,0,1.7976931348623157E308,2666604,0.0,0.0,1,5632.429321,1,0.0,SAT,,1.758,
7,4,1,6559.948596,0,1.7976931348623157E308,16378625,0.0,0.0,1,6559.948596,1,0.0,SAT,,2.059,
8,1,1,5926.237695,0,1.7976931348623157E308,13118236,0.0,0.0,1,5926.237695,1,0.0,SAT,,1.682,
9,5,1,5439.635324,0,1.7976931348623157E308,2666604,0.0,0.0,1,5439.635324,1,0.0,SAT,,1.759,
10,5,1,6376.584864,0,1.7976931348623157E308,13118236,0.0,0.0,1,6376.584864,1,0.0,SAT,,1.71,
11,5,1,7144.094163,0,1.7976931348623157E308,9953956,0.0,0.0,1,7144.094163,1,0.0,SAT,,1.659,
12,1,1,5882.830202,0,1.7976931348623157E308,5119522,0.0,0.0,1,5882.830202,1,0.0,SAT,,1.583,
13,6,1,5874.282839,0,1.7976931348623157E308,13118236,0.0,0.0,1,5874.282839,1,0.0,SAT,,1.983,
14,6,1,5286.814671,0,1.7976931348623157E308,5119522,0.0,0.0,1,5286.814671,1,0.0,SAT,,1.508,
15,6,1,5629.611206,0,1.7976931348623157E308,9953956,0.0,0.0,1,5629.611206,1,0.0,SAT,,1.711,
16,6,1,6418.634028,0,1.7976931348623157E308,2408809,0.0,0.0,1,6418.634028,1,0.0,SAT,,1.66,
17,6,1,6645.872474,0,1.7976931348623157E308,16378625,0.0,0.0,1,6645.872474,1,0.0,SAT,,2.124,
18,6,1,5783.87432,0,1.7976931348623157E308,2666604,0.0,0.0,1,5783.87432,1,0.0,SAT,,1.66,
19,6,1,5820.462756,0,1.7976931348623157E308,2922486,0.0,0.0,1,5820.462756,2,0.0,SAT,,1.843,
20,7,1,6926.575579,0,1.7976931348623157E308,13118236,0.0,0.0,1,6926.575579,2,0.0,SAT,,1.818,
21,6,1,7063.465355,0,1.7976931348623157E308,1065748,0.0,0.0,1,7063.465355,2,0.0,SAT,,1.542,
22,8,1,5875.593911,0,1.7976931348623157E308,1065748,0.0,0.0,1,5875.593911,2,0.0,SAT,,2.206,
23,8,1,5960.470016,0,1.7976931348623157E308,5119522,0.0,0.0,1,5960.470016,2,0.0,SAT,,1.613,
24,8,1,6634.752949,0,1.7976931348623157E308,2666604,0.0,0.0,1,6634.752949,2,0.0,SAT,,1.882,
25,6,1,6016.603143,0,1.7976931348623157E308,9236835,0.0,0.0,1,6016.603143,2,0.0,SAT,,1.533,
26,7,1,6323.822404,0,1.7976931348623157E308,5119522,0.0,0.0,1,6323.822404,2,0.0,SAT,,1.759,
27,6,1,6565.54189,0,1.7976931348623157E308,9248529,0.0,0.0,1,6565.54189,2,0.0,SAT,,1.784,
28,9,1,6030.985625,0,1.7976931348623157E308,16378625,0.0,0.0,1,6030.985625,2,0.0,SAT,,2.307,
29,9,1,7308.363385,0,1.7976931348623157E308,9236835,0.0,0.0,1,7308.363385,2,0.0,SAT,,2.085,
30,9,1,5954.389418,0,1.7976931348623157E308,9953956,0.0,0.0,1,5954.389418,2,0.0,SAT,,1.826,
