1: crossover='0.9', mutation='0.1', n_generations='100'
2: crossover='0.7311453961656185', mutation='0.5490008557768172', n_generations='200'
3: crossover='0.21879357098198282', mutation='0.8019210755250912', n_generations='92'
4: crossover='0.23122829881621865', mutation='0.5853583084741636', n_generations='123'
5: crossover='0.7397569991123719', mutation='0.33172376075847176', n_generations='150'
6: crossover='0.18954927553103595', mutation='0.34662098527110663', n_generations='71'
7: crossover='0.9334113309188509', mutation='0.6576757396391418', n_generations='108'
8: crossover='0.5534163534220562', mutation='0.6970626509430954', n_generations='79'
9: crossover='0.07798692603953228', mutation='0.9238027869289849', n_generations='182'
10: crossover='0.34434100498388576', mutation='0.9917140228035185', n_generations='119'
11: crossover='0.22320680619219957', mutation='0.4275398122452295', n_generations='207'
12: crossover='0.3269304921949523', mutation='0.710628231283778', n_generations='242'
13: crossover='0.5331797097399655', mutation='0.9749163660168291', n_generations='80'
14: crossover='0.34031139719828696', mutation='0.24233382799977854', n_generations='229'
15: crossover='0.9525717199391519', mutation='0.9931504968571886', n_generations='105'
16: crossover='0.33615582897482377', mutation='0.5523043906131695', n_generations='106'
17: crossover='0.8254820321061972', mutation='0.5115800667432164', n_generations='81'
18: crossover='0.33493425026240997', mutation='0.50777788786077', n_generations='85'
19: crossover='0.9614973089206875', mutation='0.6069047260683035', n_generations='242'
20: crossover='0.33594385762493817', mutation='0.40139811863080355', n_generations='140'
21: crossover='0.62311498766093', mutation='0.2906157110533487', n_generations='129'
22: crossover='0.33487148349851936', mutation='0.9202335974996589', n_generations='166'
23: crossover='0.41941156296577964', mutation='0.45955868313950266', n_generations='71'
24: crossover='0.3407861751954845', mutation='0.708613938192989', n_generations='61'
25: crossover='0.8198579526137167', mutation='9.122581485569992E-4', n_generations='99'
26: crossover='0.3359638359030436', mutation='0.4542986652215564', n_generations='59'
27: crossover='0.6425921452494665', mutation='0.6552676148067762', n_generations='145'
28: crossover='0.36143099979280957', mutation='0.07780333724816668', n_generations='50'
29: crossover='0.42770436278698043', mutation='0.5296117655151275', n_generations='228'
30: crossover='0.43103191786193384', mutation='0.3239925254502245', n_generations='70'
31: crossover='0.41971367777128976', mutation='0.27423847279513003', n_generations='242'
32: crossover='0.20256271537025627', mutation='0.9719775155775287', n_generations='196'
33: crossover='0.4250949328455831', mutation='0.07449293508576593', n_generations='182'
34: crossover='0.4512450802729703', mutation='0.4649544645127537', n_generations='56'
35: crossover='0.9071684682824316', mutation='0.12573991579681087', n_generations='165'
36: crossover='0.19173412175544313', mutation='0.21587982895973468', n_generations='191'
37: crossover='0.9541041553979437', mutation='0.8288521158181154', n_generations='201'
38: crossover='0.42456753228722055', mutation='0.45222892146233507', n_generations='64'
39: crossover='0.479802881873738', mutation='0.5859757379260494', n_generations='96'
40: crossover='0.5228483516483674', mutation='0.45476807800744945', n_generations='58'
41: crossover='0.33057771757081167', mutation='0.44865122364397514', n_generations='70'
42: crossover='0.13369605133516382', mutation='0.3041876462429881', n_generations='50'
43: crossover='0.8226020758597643', mutation='0.17244659142826269', n_generations='106'
44: crossover='0.3359638359030436', mutation='0.3291797696627393', n_generations='59'
45: crossover='0.10872790169029767', mutation='0.04452962129419258', n_generations='208'
46: crossover='0.3361202076455623', mutation='0.9303403217512357', n_generations='199'
47: crossover='0.058660221336910734', mutation='0.07780810862797338', n_generations='162'
48: crossover='0.07407917850271972', mutation='0.3128572403094443', n_generations='110'
49: crossover='0.40166027237362667', mutation='0.2004688740678069', n_generations='158'
