1: crossover='0.9', inds='500', mutation='0.1', n_generations='100'
2: crossover='0.8885676741065964', inds='271', mutation='0.9253173931349012', n_generations='62'
3: crossover='0.324818426790216', inds='369', mutation='0.026265849508723016', n_generations='82'
4: crossover='0.15333636389413552', inds='699', mutation='0.3442995388027923', n_generations='60'
5: crossover='0.9031908778667437', inds='278', mutation='0.8603099904434472', n_generations='91'
6: crossover='0.3385888378257287', inds='629', mutation='0.46850169619369864', n_generations='127'
7: crossover='0.8431397352464224', inds='336', mutation='0.26533465679370294', n_generations='148'
8: crossover='0.07087572602420733', inds='261', mutation='0.8899783669962406', n_generations='148'
9: crossover='0.16577568799761666', inds='432', mutation='0.7861838879913495', n_generations='146'
10: crossover='0.8285509065068285', inds='280', mutation='0.9437840018415556', n_generations='96'
11: crossover='0.8905806280667197', inds='609', mutation='0.32647075713005913', n_generations='80'
12: crossover='0.006538503367298554', inds='340', mutation='0.07991527944734389', n_generations='122'
13: crossover='0.4248781616056343', inds='513', mutation='0.19053670633519315', n_generations='81'
14: crossover='0.734761443379237', inds='645', mutation='0.09128578231815809', n_generations='82'
15: crossover='0.05311328365105872', inds='519', mutation='0.9182764319427571', n_generations='91'
16: crossover='0.9016464975602568', inds='361', mutation='0.16790741128041864', n_generations='133'
17: crossover='0.8287220251763358', inds='504', mutation='0.1543100111270035', n_generations='119'
18: crossover='0.865208472134558', inds='429', mutation='0.08873967641333425', n_generations='136'
19: crossover='0.6522869041619379', inds='742', mutation='0.24978874322084854', n_generations='71'
20: crossover='0.5224910748557132', inds='427', mutation='0.0861839404622945', n_generations='93'
21: crossover='0.9006410076539001', inds='514', mutation='0.8843173334709731', n_generations='90'
22: crossover='0.7001641768961872', inds='602', mutation='0.0842657633945817', n_generations='99'
23: crossover='0.1010147804328364', inds='639', mutation='0.0669248938804331', n_generations='133'
24: crossover='0.06438102650800759', inds='302', mutation='0.4158125391799612', n_generations='129'
25: crossover='0.06935877922841038', inds='626', mutation='0.6181472324063951', n_generations='65'
