Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,802.0,0,3600.0,-1,0.0,0.0,1,802.0,0,0.0,SAT,,331.746,
2,2,1,800.0,0,3600.0,-1,165.692,0.0,1,800.0,1,165.692,SAT,,241.955,
3,3,1,807.0,0,3600.0,-1,284.652,0.0,1,807.0,1,450.344,SAT,,67.864,
4,4,1,800.0,0,3600.0,-1,318.024,0.0,1,800.0,2,768.3679999999999,SAT,,261.82,
5,5,1,800.0,0,3600.0,-1,445.736,0.0,1,800.0,2,1214.1039999999998,SAT,,300.605,
6,6,1,801.0,0,3600.0,-1,590.824,0.0,1,801.0,3,1804.9279999999999,SAT,,220.137,
7,7,1,804.0,0,3600.0,-1,590.824,0.0,1,804.0,3,2395.752,SAT,,151.994,
8,8,1,802.0,0,3600.0,-1,820.936,0.0,1,802.0,4,3216.688,SAT,,201.67,
9,9,1,804.0,0,3600.0,-1,1022.368,0.0,1,804.0,4,4239.0560000000005,SAT,,101.578,
10,10,1,801.0,0,3600.0,-1,1123.848,0.0,1,801.0,5,5362.904,SAT,,62.11,
11,11,1,800.0,0,3600.0,-1,1185.876,0.0,1,800.0,5,6548.780000000001,SAT,,69.178,
12,12,1,802.0,0,3600.0,-1,1254.956,0.0,1,802.0,6,7803.736000000001,SAT,,189.727,
13,13,1,800.0,0,3600.0,-1,1443.804,0.0,1,800.0,6,9247.54,SAT,,94.127,
14,14,1,800.0,0,3600.0,-1,1537.076,0.0,1,800.0,7,10784.616000000002,SAT,,41.335,
15,15,1,809.0,0,3600.0,-1,1578.292,0.0,1,809.0,7,12362.908000000001,SAT,,128.029,
16,16,1,800.0,0,3600.0,-1,1705.98,0.0,1,800.0,8,14068.888,SAT,,75.006,
17,17,1,803.0,0,3600.0,-1,1780.88,0.0,1,803.0,8,15849.768,SAT,,76.589,
18,18,1,800.0,0,3600.0,-1,1857.364,0.0,1,800.0,9,17707.132,SAT,,40.677,
19,19,1,800.0,0,3600.0,-1,1897.924,0.0,1,800.0,9,19605.056,SAT,,138.239,
20,20,1,800.0,0,3600.0,-1,2035.66,0.0,1,800.0,10,21640.716,SAT,,62.93,
21,21,1,800.0,0,3600.0,-1,2098.496,0.0,1,800.0,10,23739.212,SAT,,133.769,
22,22,1,808.0,0,3600.0,-1,2231.488,0.0,1,808.0,11,25970.7,SAT,,62.719,
23,23,1,801.0,0,3600.0,-1,2293.408,0.0,1,801.0,11,28264.108,SAT,,240.262,
24,24,1,801.0,0,3600.0,-1,2522.592,0.0,1,801.0,12,30786.7,SAT,,238.044,
25,25,1,804.0,0,3600.0,-1,2668.704,0.0,1,804.0,12,33455.404,SAT,,42.886,
26,26,1,800.0,0,3600.0,-1,2697.32,0.0,1,800.0,13,36152.724,SAT,,108.142,
27,27,1,800.0,0,3600.0,-1,2767.028,0.0,1,800.0,13,38919.752,SAT,,101.536,
28,28,1,800.0,0,3600.0,-1,2844.896,0.0,1,800.0,14,41764.648,SAT,,361.841,
