1: crossover='0.9', inds='500', mutation='0.1', n_generations='100'
2: crossover='0.9234152706261772', inds='448', mutation='0.06863377942254323', n_generations='104'
3: crossover='0.21879357098198282', inds='651', mutation='0.21342831345273894', n_generations='63'
4: crossover='0.19059654104172685', inds='619', mutation='0.5170426947159811', n_generations='77'
5: crossover='0.7311919011336308', inds='306', mutation='0.850134749880072', n_generations='112'
6: crossover='0.27356536302662815', inds='267', mutation='0.07998452613677398', n_generations='96'
7: crossover='0.859572105031888', inds='489', mutation='0.23037221765557025', n_generations='63'
8: crossover='0.4661759691249038', inds='408', mutation='0.20308951860841729', n_generations='62'
9: crossover='0.5620993856233246', inds='348', mutation='0.30767768119779615', n_generations='101'
10: crossover='0.7723904469119405', inds='331', mutation='0.9961402549850924', n_generations='143'
11: crossover='0.8162918218921886', inds='359', mutation='0.09385191219210964', n_generations='68'
12: crossover='0.18089298461067493', inds='495', mutation='0.4784767738642587', n_generations='57'
13: crossover='0.3725540761060381', inds='692', mutation='0.7044290624941273', n_generations='77'
14: crossover='0.27172076332186756', inds='597', mutation='0.5154287907688369', n_generations='66'
15: crossover='0.7496602285117299', inds='437', mutation='0.8029322351425124', n_generations='101'
16: crossover='0.47255771047857253', inds='498', mutation='0.20013649665089817', n_generations='98'
17: crossover='0.16401755861942435', inds='534', mutation='0.18435659087893075', n_generations='83'
18: crossover='0.9740060531924517', inds='499', mutation='0.023120087067069583', n_generations='134'
19: crossover='0.934071001385179', inds='639', mutation='0.6488926617784755', n_generations='97'
20: crossover='0.17701361121411663', inds='473', mutation='0.7533025695537156', n_generations='65'
21: crossover='0.02667025222270103', inds='524', mutation='0.7510515326500472', n_generations='92'
22: crossover='0.2724101129950338', inds='356', mutation='0.35808113581915124', n_generations='83'
23: crossover='0.2621238433405506', inds='586', mutation='0.10306655431219058', n_generations='63'
24: crossover='0.2718482409009354', inds='384', mutation='0.6838815045182083', n_generations='88'
25: crossover='0.9342728074019707', inds='658', mutation='0.567891652688664', n_generations='62'
26: crossover='0.2742034152889308', inds='711', mutation='0.7815109131510015', n_generations='93'
27: crossover='0.24505622168775099', inds='636', mutation='0.03919828300156314', n_generations='118'
28: crossover='0.2721133644746718', inds='399', mutation='0.7805691441963308', n_generations='73'
29: crossover='0.3989874165966305', inds='628', mutation='0.23435602793488508', n_generations='143'
30: crossover='0.1392205830974763', inds='719', mutation='0.5096051058899425', n_generations='99'
31: crossover='0.6481750438724794', inds='412', mutation='0.8432115615674928', n_generations='67'
32: crossover='0.05829443380168087', inds='269', mutation='0.4941197102754362', n_generations='84'
33: crossover='0.6064833360088975', inds='621', mutation='0.9874774765825197', n_generations='101'
34: crossover='0.2205238590929519', inds='578', mutation='0.5071693725136648', n_generations='101'
35: crossover='0.9892006634550962', inds='573', mutation='0.4630497265339856', n_generations='107'
36: crossover='0.29622767330557165', inds='258', mutation='0.6288435071545295', n_generations='69'
37: crossover='0.6438941195492802', inds='557', mutation='0.13407193061236533', n_generations='92'
38: crossover='0.21000336534405595', inds='709', mutation='0.8964133051682492', n_generations='82'
39: crossover='0.24136783041571097', inds='523', mutation='0.33298367887275826', n_generations='91'
40: crossover='0.3592788954715117', inds='266', mutation='0.9852420547037583', n_generations='63'
41: crossover='0.9713482954899136', inds='508', mutation='0.44176706633189333', n_generations='73'
42: crossover='0.23417344814047958', inds='516', mutation='0.6029193643794267', n_generations='59'
43: crossover='0.6360660035346367', inds='476', mutation='0.08449861858513041', n_generations='50'
44: crossover='0.6411175277620186', inds='310', mutation='0.8074784250175638', n_generations='61'
45: crossover='0.9268284034496427', inds='368', mutation='0.4746839118086197', n_generations='59'
46: crossover='0.24366572302062417', inds='417', mutation='0.8200424541062606', n_generations='61'
47: crossover='0.849956654513078', inds='566', mutation='0.8525904839555861', n_generations='58'
48: crossover='0.8057846874801833', inds='252', mutation='0.9155738718104462', n_generations='92'
49: crossover='0.4289734326052598', inds='387', mutation='0.20792294450759607', n_generations='88'
50: crossover='0.9826376076549348', inds='490', mutation='0.6922803942325884', n_generations='53'
51: crossover='0.026810501561662647', inds='636', mutation='0.15006626146072988', n_generations='125'
52: crossover='0.3442654884306906', inds='572', mutation='0.996533814862015', n_generations='61'
53: crossover='0.1983689014142821', inds='658', mutation='0.2014735577396476', n_generations='51'
54: crossover='0.4533216821952839', inds='502', mutation='0.48956720117000474', n_generations='66'
55: crossover='0.7130977414779791', inds='478', mutation='0.9230687620686859', n_generations='72'
56: crossover='0.9755090990060729', inds='668', mutation='0.534105509209507', n_generations='60'
57: crossover='0.08474626934008156', inds='636', mutation='0.885704935943395', n_generations='124'
58: crossover='0.27986062412894275', inds='285', mutation='0.6989604049805263', n_generations='59'
59: crossover='0.0677267196953667', inds='571', mutation='0.10341607673677677', n_generations='73'
60: crossover='0.8414403865272064', inds='472', mutation='0.28061037030803104', n_generations='50'
61: crossover='0.10128718748139343', inds='658', mutation='0.318653364061388', n_generations='121'
62: crossover='0.411841478469682', inds='394', mutation='0.65128653817904', n_generations='75'
63: crossover='0.6733261666785479', inds='503', mutation='0.4739765953945748', n_generations='82'
64: crossover='0.26771421582909394', inds='571', mutation='0.5126757363424692', n_generations='61'
65: crossover='0.5313204953733759', inds='626', mutation='0.3972289355204678', n_generations='60'
